,주차장종류별,행정구역(시)별,항목,단위,2017 년,2018 년
2,합계,제주시,주차장수[개소],개소,24261,25076.0
3,합계,제주시,면수[면],면,225422,234475.0
0,합계,제주시,주차장1개당 평균면수,평균,9.29,9.35
0,합계,제주시,주차장1개당 평균면수,평균,9.29,9.35
