코드,시도,시군구,읍면동,위도,경도,코드종류
5011025927,제주특별자치도,제주시,조천읍,33.546282,126.693334,B
5011025928,제주특별자치도,제주시,조천읍,33.487787,126.681513,B
5011025929,제주특별자치도,제주시,조천읍,33.433063,126.676618,B
5011025930,제주특별자치도,제주시,조천읍,33.490277,126.703822,B
5011031021,제주특별자치도,제주시,한경면,33.308184,126.24657,B
5011031022,제주특별자치도,제주시,한경면,33.327072,126.173802,B
5011031023,제주특별자치도,제주시,한경면,33.30241,126.182471,B
5011031024,제주특별자치도,제주시,한경면,33.360748,126.204586,B
5011031025,제주특별자치도,제주시,한경면,33.355607,126.198331,B
5011031026,제주특별자치도,제주시,한경면,33.32837,126.224732,B
5011031027,제주특별자치도,제주시,한경면,33.344912,126.191507,B
5011031028,제주특별자치도,제주시,한경면,33.345786,126.183165,B
5011031029,제주특별자치도,제주시,한경면,33.317472,126.230158,B
5011031030,제주특별자치도,제주시,한경면,33.331148,126.258595,B
5011032021,제주특별자치도,제주시,추자면,33.963828,126.296228,B
5011032022,제주특별자치도,제주시,추자면,33.959625,126.296197,B
5011032023,제주특별자치도,제주시,추자면,33.94542,126.314946,B
5011032024,제주특별자치도,제주시,추자면,33.956246,126.332358,B
5011032025,제주특별자치도,제주시,추자면,33.944414,126.326594,B
5011033021,제주특별자치도,제주시,우도면,33.508101,126.954377,B
5013010100,제주특별자치도,서귀포시,서귀동,33.248077,126.563275,B
5013010200,제주특별자치도,서귀포시,법환동,33.240371,126.512796,B
5013010300,제주특별자치도,서귀포시,서호동,33.256997,126.518095,B
5013010400,제주특별자치도,서귀포시,호근동,33.257252,126.531865,B
5013010500,제주특별자치도,서귀포시,동홍동,33.259684,126.569479,B
5013010600,제주특별자치도,서귀포시,서홍동,33.259934,126.553371,B
5013010700,제주특별자치도,서귀포시,상효동,33.284368,126.598396,B
5013010800,제주특별자치도,서귀포시,하효동,33.258872,126.618547,B
5013010900,제주특별자치도,서귀포시,신효동,33.264832,126.610278,B
5013011000,제주특별자치도,서귀포시,보목동,33.243637,126.600829,B
5013011100,제주특별자치도,서귀포시,토평동,33.270975,126.585383,B
5013011200,제주특별자치도,서귀포시,중문동,33.255965,126.427081,B
5013011300,제주특별자치도,서귀포시,회수동,33.263059,126.443162,B
5013011400,제주특별자치도,서귀포시,대포동,33.247863,126.437408,B
5013011500,제주특별자치도,서귀포시,월평동,33.245584,126.462076,B
5013011600,제주특별자치도,서귀포시,강정동,33.248323,126.49124,B
5013011700,제주특별자치도,서귀포시,도순동,33.254758,126.473867,B
5013011800,제주특별자치도,서귀포시,하원동,33.259869,126.459962,B
5013011900,제주특별자치도,서귀포시,색달동,33.262951,126.413206,B
5013012000,제주특별자치도,서귀포시,상예동,33.257448,126.387801,B
5013012100,제주특별자치도,서귀포시,하예동,33.240467,126.380909,B
5013012200,제주특별자치도,서귀포시,영남동,33.28609,126.50245,B
5013025021,제주특별자치도,서귀포시,대정읍,33.223105,126.264384,B
5013025022,제주특별자치도,서귀포시,대정읍,33.221698,126.252783,B
5013025023,제주특별자치도,서귀포시,대정읍,33.260741,126.283342,B
