name,20180112
서귀동,2121
연동,1752
이도2동,1460
용담2동,1340
이도이도,1308
노형동,1093
일도이동,1029
건입동,940
이도일동,928
일도2동,927
성산읍,918
삼도이동,907
안덕면,887
표선면,848
애월읍,767
조천읍,689
구좌읍,649
서홍동,612
도남동,600
일도일동,582
한림읍,575
남원읍,538
중문동,536
용담일동,498
화북1동,472
동홍동,438
삼양2동,400
대정읍,391
이도이동,381
외도이동,346
한경면,341
아라2동,323
아라이동,313
아라일동,303
아라1동,279
오라1동,242
용담1동,230
색달동,223
삼도2동,196
삼도일동,188
삼도1동,163
삼양일동,124
용담삼동,95
강정동,87
이도1동,82
법환동,70
서귀,69
표선읍,62
오라일동,57
봉개동,55
하효동,55
도두일동,53
삼양이동,50
용담3동,50
외도일동,49
도두동,48
외도동,48
상예동,42
용담이동,39
납원읍,37
이호일동,37
대륜동,34
상효동,33
토평동,33
아라동,31
삼양동,28
영천동,28
이호1동,21
대포동,18
오라이동,17
신효동,16
회수동,14
화북동,12
예래동,10
월평동,9
하예동,9
일도1동,9
이호동,8
오등동,8
용강동,5
호근동,4
보목동,4
하원동,4
해안동,1
삼양삼동,1
