name,20180111
서귀동,1817
연동,1570
용담2동,1316
이도2동,1213
이도이도,1212
노형동,923
삼도이동,906
일도이동,892
이도일동,848
건입동,836
성산읍,831
일도2동,828
표선면,761
애월읍,706
안덕면,689
구좌읍,677
조천읍,676
도남동,548
한림읍,533
일도일동,524
용담일동,521
남원읍,500
화북1동,468
중문동,467
서홍동,398
이도이동,389
삼양2동,386
대정읍,357
동홍동,326
한경면,316
아라2동,307
아라일동,301
외도이동,299
아라이동,284
아라1동,281
오라1동,218
용담1동,213
색달동,197
삼도2동,187
삼도일동,173
삼도1동,157
삼양일동,108
이도1동,76
용담삼동,73
서귀,70
오라일동,65
삼양이동,56
외도동,53
법환동,53
상예동,52
봉개동,51
표선읍,51
용담이동,46
도두동,45
외도일동,45
하효동,42
강정동,40
납원읍,37
용담3동,33
아라동,33
삼양동,31
이호일동,29
대포동,28
토평동,26
영천동,25
대륜동,23
상효동,22
신효동,21
회수동,18
월평동,16
이호동,15
오라이동,15
예래동,12
화북동,12
하예동,12
도두일동,11
이호1동,10
하원동,7
보목동,6
호근동,5
일도1동,5
오등동,5
용강동,4
삼양삼동,3
해안동,1
