name	20180110
서귀동	2074
연동	1596
이도이도	1580
이도2동	1391
안덕면	1200
성산읍	1163
일도이동	1156
노형동	1122
용담2동	1087
건입동	1018
구좌읍	990
표선면	971
삼도이동	961
일도2동	958
이도일동	947
애월읍	930
도남동	869
조천읍	778
한림읍	700
남원읍	596
중문동	580
화북1동	577
서홍동	553
일도일동	510
용담일동	494
아라2동	488
이도이동	482
대정읍	416
아라일동	398
한경면	389
아라이동	377
삼양2동	376
외도이동	370
동홍동	368
아라1동	328
색달동	268
삼도일동	222
삼도2동	203
용담1동	203
오라1동	160
삼도1동	156
봉개동	101
용담삼동	98
삼양일동	96
상예동	74
표선읍	69
서귀	68
오라일동	66
법환동	66
이도1동	64
삼양이동	61
외도동	61
하효동	60
외도일동	60
대륜동	56
용담3동	55
아라동	52
도두동	49
토평동	45
강정동	45
납원읍	43
이호일동	43
대포동	41
회수동	40
영천동	40
용담이동	38
상효동	35
신효동	28
삼양동	26
월평동	23
용강동	17
오라이동	16
예래동	12
해안동	11
이호동	10
도두일동	9
하원동	8
보목동	7
하예동	7
이호1동	7
화북동	7
호근동	6
일도1동	6
삼양삼동	2
오등동	2
도순동	1
