name,20180113
서귀동,2204
이도이도,1670
이도2동,1669
삼도이동,1455
연동,1319
건입동,1315
용담2동,1236
노형동,1235
일도이동,1217
이도일동,1215
안덕면,1181
성산읍,1080
일도2동,1004
애월읍,989
표선면,943
조천읍,891
일도일동,881
구좌읍,837
용담일동,703
도남동,701
중문동,606
화북1동,583
한림읍,568
남원읍,506
아라2동,501
서홍동,466
외도이동,452
대정읍,447
한경면,436
삼양2동,434
이도이동,427
아라이동,419
동홍동,397
아라일동,347
색달동,296
아라1동,259
용담1동,250
삼도2동,230
삼도일동,221
오라1동,188
용담삼동,183
삼도1동,162
삼양일동,160
법환동,105
표선읍,91
하효동,84
오라일동,78
봉개동,77
이도1동,74
서귀,73
강정동,73
외도일동,71
도두동,71
상예동,70
용담3동,68
이호일동,61
대포동,57
삼양이동,48
토평동,48
상효동,46
외도동,45
용담이동,43
오라이동,42
대륜동,37
납원읍,35
이호1동,35
삼양동,35
회수동,34
영천동,25
용강동,25
아라동,20
이호동,15
오등동,14
신효동,13
도두일동,12
보목동,10
일도1동,9
하예동,9
호근동,9
화북동,9
하원동,7
월평동,6
예래동,6
삼양삼동,6
해안동,3
